Item Number,Item Title,Item Description,Treatment Friendly Name,Private,Medicare,Vet Affairs,VGDS,VGDS PAT,Surfaces,,,,,,,,,,,,,,,,
123,Application of a cariostatic agent – per tooth,Application of a concentrated fluoride or remineralisation and/or cariostatic agent.,"Topical fluoride, home application . per arch Concentrated flouride, appic - single tooth",65,0,30.75,0,0,,,,,,,,,,,,,,,,,
131,Dietary analysis and advice,Analysis of and advice on a patient’s diet to correct any dietary imbalances or deficiencies.,Dietary advice,0,0,39.05,0,0,,,,,,,,,,,,,,,,,
141,Oral hygiene instruction,Instruction in techniques for the removal of bacterial plaque. Advice on appropriate toothpaste and medicaments may be included.,Dietary counselling Oral hyg ene instruction,0,31,53.1,0,0,,,,,,,,,,,,,,,,,
142,Tobacco counselling,Analysis and assessment of a patient’s tobacco use and advice on the prevention and cessation of the use of tobacco.,Tobacco counselling,0,0,0,0,0,,,,,,,,,,,,,,,,,
151,Provision of a mouthguard – indirect,"Construction, provision, and delivery of a mouthguard, using a model(s).",provision mouthguard - indirect,180,85,161.4,0,0,,,,,,,,,,,,,,,,,
153,Bi-maxillary mouthguard – indirect,"Construction, provision, and delivery of a bi-maxillary mouthguard using models.",Mouthguard Bimaxillary mouthguard - indirect 8jmax Wary mouthguard constructed on models,0,0,0,0,0,,,,,,,,,,,,,,,,,
161,Fissure and/or tooth surface sealing – per tooth,"Sealing of non-carious pits, fissures, smooth surfaces or cracks in a tooth with an adhesive material.",Fissure sealing - per tooth Fissure Sealing per tooth,70,29,49.45,0,0,,,,,,,,,,,,,,,,,
163,Resin infiltration – per tooth,Treatment of enamel lesions on smooth enamel surfaces by infiltration with a resin material.,,,,,,,,,,,,,,,,,,,,,,,
165,Desensitising procedure – per appointment,All desensitising undertaken at a single appointment to diminish or abolish painful sensitivity in exposed dentine.,Applic'n desensitising agent - per visit,50.3,0,30.75,0,0,,,,,,,,,,,,,,,,,
171,Odontoplasty – per tooth,A procedure to modify the contour of the crown of a tooth or the anatomy of the fissure of a tooth.,Application of Desensitizing agent Odontoplasty - per tooth,25,0,54.55,0,0,,,,,,,,,,,,,,,,,
611,Full crown – polymeric material – indirect,"An artificial crown constructed with a polymeric material, restoring a natural tooth.",Full Crown - acrylic resin- indirect,550,0,992.1,0,0,,,,,,,,,,,,,,,,,
613,Full crown – ceramic – indirect,"An artificial crown constructed with a ceramic material, manufactured to precisely adapt to a pre-prepared natural tooth.",Full Crown - non-metallic - indirect,2200,760,144.2.85,0,0,,,,,,,,,,,,,,,,,
615,Full crown – veneered – indirect,"An artificial crown constructed with a metallic base veneered with a tooth-coloured material, manufactured to precisely adapt to a pre-prepared natural tooth.",Full crown - veneered - indirect,2200,875,1357.35,0,0,,,,,,,,,,,,,,,,,
618,Full crown – metallic – indirect,"An artificial crown constructed with custom fabricated metal, manufactured to precisely adapt to a pre-prepared natural tooth.",Full crown - metallic—gold - indirect,1700,775,1271.9,0,0,,,,,,,,,,,,,,,,,
625,Post and core for crown – indirect,A post and core fabricated accurately to the dimension of the prepared root canal(s) and the desired coronal anatomy to provide an anchor foundation for an artificial crown.,Core for crown incl post indirect,200,155,343.4,0,0,,,,,,,,,,,,,,,,,
627,Preliminary restoration for crown – direct,"A direct restoration of the remains of a tooth to provide a base for an intended indirect crown, placed at the same appointment as the crown preparation. Pins and/or posts used should be itemised separately.",Preliminary restorationn for crown - direct,200,0,141.9,0,0,,,,,,,,,,,,,,,,,
629,Post and root cap – indirect,A post and capping fitted to the root of a tooth. The post provides an anchor in the root canal of the tooth and the capping may provide support for an overdenture. It may incorporate a precision or magnetic attachment that should be separately itemised.,Post and root cap - indirect,300,0,359.65,0,0,,,,,,,,,,,,,,,,,
631,Provisional crown – per tooth,"Provisional restoration of a tooth with a crown that is designed to last until the definitive crown can be
constructed or the tooth is removed. This item should be used only where a provisional crown is not an
intrinsic part of another service. It should not be used for a provisional restoration between appointments
during crown construction.",Temporary (provisional) crown,200,0,163.7,0,0,,,,,,,,,,,,,,,,,
632,Provisional bridge pontic – per pontic,"Placement of a fixed provisional bridge pontic supported by teeth or implants designed to last until the
definitive bridge can be constructed and inserted. The provisional restorations of the abutments are itemised
separately as 631. The provisional implant abutments are itemised separately as 633. This item should be used
only where a provisional bridge is not an intrinsic part of the treatment being provided. It should not be used
for a provisional bridge between appointments during bridge construction.",Temporary (provisional) bridge per pontic,320,0,324.85,0,0,,,,,,,,,,,,,,,,,
633,Provisional implant abutment,per abutment Placement of a specific provisional abutment to an implant designed to last until the definitive abutment(s) are fitted. These are generally fitted to accommodate a provisional prosthesis.,,,,,,,,,,,,,,,,,,,,,,,
634,Provisional implant restoration – per implant abutment,The provisional (intermediate) restoration of an implant designed to last until the definitive restoration can be placed. This item should be used only where the provisional (intermediate) restoration is not an intrinsic part of treatment.,,,,,,,,,,,,,,,,,,,,,,,
642,Bridge pontic – direct – per pontic,The direct attachment of a replacement tooth to the adjoining abutment tooth/teeth. The pontic and attachment may utilise reinforcing materials. The number of pontics should be indicated and the attaching restorations should be appropriately itemised.,Bridge pontic - direct - per pontic,0,0,1039.3,0,0,,,,,,,,,,,,,,,,,
643,Bridge pontic – indirect – per pontic,The indirect provision of an artificial replacement tooth joined to a retainer(s) on an abutment tooth or osseointegrated implant. The number of pontics should be indicated and the retainer should be appropriately itemised.,Bridge pontic - indirect - per pontic,2200,780,1108.15,0,0,,,,,,,,,,,,,,,,,
644,Semi-fixed attachment,The preparation within a restoration of a mechanical lock or keyway matched by a complementary portion on a bridge or prosthetic appliance. The other components of the bridge or prosthetic appliance should be appropriately itemised.,Semi-fixed attachment,300,0,250.05,0,0,,,,,,,,,,,,,,,,,
645,Precision or magnetic attachment,"Incorporated as part of a restoration, or a magnetic or precision retention device matched by a complementary attachment on a bridge or other prosthetic appliance. The other components of the bridge or prosthetic appliance should be appropriately itemised.",Precision or magnetic attachment,350,0,318.2,0,0,,,,,,,,,,,,,,,,,
648,Bonded retainer – direct – per tooth,A retainer directly bonded to the abutment tooth/teeth for support of the bridge pontic(s). The pontic(s) should be itemised separately.,,,,,,,,,,,,,,,,,,,,,,,
649,Bonded retainer – indirect – per tooth,"A retainer and framework to be bonded to the abutment tooth/teeth for support of the bridge pontic(s) or a precision attachment. In the case of a bonded bridge, the number of pontics should be itemised separately.",Retainer for bonded bridge - indirect - per tooth,220,0,422.3,0,0,,,,,,,,,,,,,,,,,
651,Recementing crown or veneer,Recementing a previously cemented crown/veneer.,Recementing crown or veneer,200,54,110.75,47.95,0,,,,,,,,,,,,,,,,,
652,Recementing bridge or splint – per abutment,Recementing a previously cemented bridge or splint.,Recementing bridge/splint -per abut,150,8000,108.15,54.75,0,,,,,,,,,,,,,,,,,
653,Rebonding of bridge or splint where retreatment of bridge surface is required,The rebonding of an enamel bonded bridge or splint that requires retreatment of the fitting surface.,Rebonding of bridge or splint,150,0,98.4,0,0,,,,,,,,,,,,,,,,,
655,Removal of crown,The removal of a currently cemented definitive crown that may subsequently be reinserted.,Removal of Crown,100,0,66.2,0,0,,,,,,,,,,,,,,,,,
656,Removal of bridge or splint,"The removal of all, or part, of a bridge or splint.",Removal of bridge or spint,150,0,198.65,0,0,,,,,,,,,,,,,,,,,
658,Repair of crown or bridge – indirect – per crown or pontic,The extraoral repair of a crown or bridge.,"Repair of crown, bridge or splint - indirect",0,0,250.05,0,0,,,,,,,,,,,,,,,,,
659,"Repair of crown, bridge or veneer – direct – per crown, pontic or veneer","The intraoral repair of a cemented crown, bridge or veneer.","Repair of crown, bridge or splint - direct",0,0,318.2,0,0,,,,,,,,,,,,,,,,,
661,Fitting of implant abutment – per abutment,Fitting of the final implant abutment or the replacement of an existing abutment. This includes abutments with attachments designed to retain an overdenture.,Fitting implant abutment - per abutment,1150,0,0,0,0,,,,,,,,,,,,,,,,,
663,Removal of implant and/or retention device,The surgical removal of an implant and/or retention device.,Removal Of inplant,342.3,0,0,0,0,,,,,,,,,,,,,,,,,
664,Fitting of bar for denture – per tooth or implant,A rigid bar affixed to a natural tooth or osseointegrated implant abutment to provide support and retention for a dental prosthesis. The bar may incorporate retention devices and each of these should be itemised as 645. The retention components within the prosthesis are itemised as 735.,Fit of bar denture-per abutment,0,0,0,0,0,,,,,,,,,,,,,,,,,
665,Prosthesis with resin base attached to implants – removable – per arch,A removable prosthesis carrying artificial teeth on a resin base supported by the implants to which it is attached. This prosthesis is designed for self-removal. Abutments attached to implants should be itemised as 661; retention components within prosthesis should be itemised as 735.,,,,,,,,,,,,,,,,,,,,,,,
666,Prosthesis with metal frame attached to implants – fixed – per arch,"A fixed prosthesis carrying prosthetic teeth on a custom fabricated metal frame, supported by the implants to which it is attached and not designed for self-removal. This is inclusive of the sealing of the access to the abutment screws. Abutments attached to implants itemised as 661.",Prosthesis with metal frame attached to implants - fixed,"9,338",0,0,0,0,,,,,,,,,,,,,,,,,
667,Prosthesis with metal frame attached to implants – removable – per arch,A removable prosthesis carrying prosthetic teeth on a custom fabricated metal frame. This prosthesis is attached to the implants and is designed for self-removal. Abutments attached to implants itemised as 661; retention components within prosthesis should be itemised as 735.,,,,,,,,,,,,,,,,,,,,,,,
668,Implant prosthetic screw replacement,Replacement of an existing implant prosthetic screw.,,,,,,,,,,,,,,,,,,,,,,,
669,Removal and reattachment of prosthesis fixed to implant(s) – per implant,Removal for maintenance of a prosthesis that is fixed to an osseointegrated implant(s) and not designed for self-removal. Access to attaching screws and subsequent replacement is required. Repairs effected should be appropriately itemised.,Remove/reattach prosthesis fixed implant(s),220,0,0,0,0,,,,,,,,,,,,,,,,,
671,Full crown attached to osseointegrated implant – non-metallic – indirect,An artificial crown constructed of tooth-coloured material attached to an osseointegrated implant.,Full Crown att. Osseointegrated implant. Non .met-indirect,2900,0,1442.65,0,0,,,,,,,,,,,,,,,,,
672,Full crown attached to osseointegrated implant – veneered – indirect,An artificial crown constructed with a metallic base veneered with a tooth-coloured material attached to an osseointegrated implant.,Full Crown att Osseointegrated implant Veneered-indirect,2980,0,1634.45,0,0,,,,,,,,,,,,,,,,,
673,Full crown attached to osseointegrated implant – metallic – indirect,An artificial crown constructed with custom fabricated metal attached to an osseointegrated implant.,Full Crown att Osseointegrated implant. Metallic-indirect,0,0,1273,0,0,,,,,,,,,,,,,,,,,
678,Diagnostic template,A diagnostic radiographic template that facilitates oral and/or maxillofacial surgical planning.,,,,,,,,,,,,,,,,,,,,,,,
679,Surgical implant guide,Provision of an appliance that indicates the ideal location and angulation for insertion of implants.,Surgical Implant guide,2650,0,0,0,0,,,,,,,,,,,,,,,,,
684,Insertion of the first stage of two-stage endosseous implant – per implant,"Surgical insertion of an implant, made of a biocompatible material. The soft tissues are closed over the implant until osseointegration is achieved. The number of implants should be indicated.",Insert 1st stage of 2 stage endosseous implant (per implant),2195,0,0,0,0,,,,,,,,,,,,,,,,,
685,Insertion of the first stage of two-stage maxillofacial endosseous implant – per implant,Surgical insertion of an implant made of a biocompatible material. The soft tissues are closed over the implant until osseointegration is achieved. The implant is used to retain a maxillofacial prosthesis. Item number 691 should be used for the second-stage procedure.,,,,,,,,,,,,,,,,,,,,,,,
686,Insertion of a one-stage maxillofacial endosseous implant – per implant,Surgical insertion of an implant made of a biocompatible material. The implant is used to retain a maxillofacial prosthesis.,,,,,,,,,,,,,,,,,,,,,,,
687,Insertion of a mini-implant – per implant,"Surgical insertion of a small diameter implant (< 3.0 mm), made of biocompatible material, where the abutment is an integral component of the implant.",,,,,,,,,,,,,,,,,,,,,,,
688,Insertion of a one-stage endosseous implant – per implant,"Surgical insertion of an implant, made of biocompatible material.",Insert 2nd stage endosseous implant (per implant),2290,0,0,0,0,,,,,,,,,,,,,,,,,
689,Provisional implant,Special purpose implant designed with the intention of being removed at a later stage.,,,,,,,,,,,,,,,,,,,,,,,
690,Provisional retention or anchorage device,"Special purpose retention or anchorage device attached to the jaws by screws or provisional implants, to reinforce anchorage and assist with orthodontic movements, and intended for removal when no longer required for orthodontic treatment. Other orthodontic treatment is to be itemised separately.",,,,,,,,,,,,,,,,,,,,,,,
691,Second-stage surgery of two-stage endosseous implant – per implant,"Surgical access to the previously osseointegrated implant to attach a transmucosal component, usually a healing abutment. The number of implants should be indicated. Other items listed in the prosthodontics section may be directly applied in the description of implant prostheses, if appropriate.",2nd surgical stage of stage 2 endosseous implants (per implant),260,0,0,0,0,,,,,,,,,,,,,,,,,
692,Closure of screw access chamber,"Subsequent sealing of the access chamber or screw channel of a screw-retained implant prosthesis, per implant. The sealing of the access chamber when delivering a new prosthesis is intrinsic to the provision of the prosthesis.",,,,,,,,,,,,,,,,,,,,,,,
693,Remodelling of a fixed implant prosthesis,"Remodelling of a screw-retained, metal-resin, implant supported fixed prosthesis attached to implants including replacement of veneering materials. The prosthetic teeth should be itemised separately as 765 per tooth replaced.",,,,,,,,,,,,,,,,,,,,,,,
694,Repair or replacement of the ceramic component of an implant metal-ceramic or all ceramic crown or bridge – per prosthetic tooth,The extraoral repair or replacement of the ceramic component of an implant crown or bridge – per prosthetic tooth.,,,,,,,,,,,,,,,,,,,,,,,
695,Cleaning and polishing of an implant prosthesis,"The extraoral cleaning of an implant prosthesis. This can include removal of calculus and plaque, polishing and disinfection. Screw replacement and closure of the screw access chamber should be itemised separately.",,,,,,,,,,,,,,,,,,,,,,,
696,Removal of fractured abutment screw,Removal of the apical threaded part of a fractured abutment screw.,,,,,,,,,,,,,,,,,,,,,,,
711,Complete maxillary denture,Provision of a patient-removable dental prosthesis replacing the natural teeth and adjacent tissues in the maxilla.,Full upper denture,2500,0,1024.9,0,0,,,,,,,,,,,,,,,,,
712,Complete mandibular denture,Provision of a patient-removable dental prosthesis replacing the natural teeth and adjacent tissues in the mandible.,Full lower denture,2500,0,1024.9,0,0,,,,,,,,,,,,,,,,,
713,Provisional complete maxillary denture,Provision of a patient-removable dental prosthesis replacing the natural teeth and adjacent tissues in the maxilla that is designed to last until the definitive denture can be constructed.,Provisional full upper denture,0,0,768.65,0,0,,,,,,,,,,,,,,,,,
714,Provisional complete mandibular denture,Provision of a patient-removable dental prosthesis replacing the natural teeth and adjacent tissues in the mandible that is designed to last until the definitive prosthesis can be constructed.,Provisional full lower denture,0,0,768.65,0,0,,,,,,,,,,,,,,,,,
715,Provisional complete maxillary and mandibular dentures,Provision of a patient-removable dental prosthesis replacing the natural teeth and adjacent tissues in both the maxilla and the mandible that is designed to last until the definitive prosthesis can be constructed.,Provisional full upper and lower dentures,0,0,1363.05,0,0,,,,,,,,,,,,,,,,,
716,Metal palate or plate,A reinforcing custom fabricated metal section added to a resin denture base. The other denture components should be appropriately itemised.,Metal palate or plate,1500,0,0,0,0,,,,,,,,,,,,,,,,,
719,Complete maxillary and mandibular dentures,Provision of patient-removable dental prostheses for the natural teeth and adjacent tissues in both the maxilla and the mandible.,Complete maxillar and mandibular dentures,2200,0,1817.4,0,0,,,,,,,,,,,,,,,,,
721,Partial maxillary denture – resin base,Provision of a resin base for a patient-removable dental prosthesis for the maxilla where some natural teeth remain.,Partial upper denture- resin base,1000,0,468.9,0,0,,,,,,,,,,,,,,,,,
722,Partial mandibular denture – resin base,Provision of a resin base for a patient-removable dental prosthesis for the mandible where some natural teeth remain.,Partial lower denture- resin base,1000,0,468.9,0,0,,,,,,,,,,,,,,,,,
723,Provisional partial maxillary denture,Provision of a patient-removable partial dental prosthesis replacing the natural teeth and adjacent tissues in the maxilla that is designed to last until the definitive prosthesis can be constructed.,Provisional partial upper denture,0,0,351.7,0,0,,,,,,,,,,,,,,,,,
724,Provisional partial mandibular denture,Provision of a patient-removable partial dental prosthesis replacing the natural teeth and adjacent tissues in the mandible that is designed to last until the definitive prosthesis can be constructed.,Provisional partial lower denture,0,0,351.7,0,0,,,,,,,,,,,,,,,,,
727,Partial maxillary denture – custom fabricated metal framework,Provision of the framework for a patient-removable dental prosthesis made with a custom fabricated metal on which to replace teeth from the maxilla.,Partial upper denture- cast metal framework,1950,0,1372.95,0,0,,,,,,,,,,,,,,,,,
728,Partial mandibular denture – custom fabricated metal framework,Provision of the framework for a patient removable dental prosthesis made with a custom fabricated metal on which to replace teeth from the mandible.,Partial lower denture- cast metal framework,1950,0,1372.95,0,0,,,,,,,,,,,,,,,,,
731,Retainer (clasp) – per tooth,A retainer or clasp that is attached to a partial denture that is adapted to an undercut in a tooth to aid retention.,Retainer per tooth (each retainer),88.57,0,47.3,0,0,,,,,,,,,,,,,,,,,
732,Occlusal rest – per rest,A unit of a partial denture that rests upon a tooth surface to provide support for the denture.,Occlusal rest,0,0,23,0,0,,,,,,,,,,,,,,,,,
733,Tooth/teeth (partial denture),An item to describe each denture tooth added to the base of a new partial denture.,Tooth/teeth each additional  tooth,65,0,0,0,0,,,,,,,,,,,,,,,,,
734,Overlays – per tooth,An extension of a denture covering the occlusal surface of remaining teeth or deliberately retained roots.,Overlays - per tooth,0,0,47.3,0,0,,,,,,,,,,,,,,,,,
735,Precision or magnetic denture attachment,A preformed device within a prosthesis that connects to a precision or magnetic component on a tooth or implant.,Precision or magnetic attachment,0,0,284.15,0,0,,,,,,,,,,,,,,,,,
736,Immediate tooth replacement – per tooth,Provision within a denture to allow immediate replacement of an extracted tooth.,Immediate tooth replacemt- per tooth,215,0,9.8,0,0,,,,,,,,,,,,,,,,,
737,Resilient lining,Provision of a resilient tissue-bearing surface for a removable prosthesis.,Resilient lining,500,192.35,203.15,0,0,,,,,,,,,,,,,,,,,
738,Wrought bar,A wrought bar joining sections of a partial prosthesis.,Wrought bar,0,0,189.3,0,0,,,,,,,,,,,,,,,,,
739,Metal backing of denture teeth – per backing,A metallic extension of the metal partial denture framework to provide a backing.,Metal backing - per backing,50,0,9.8,0,0,,,,,,,,,,,,,,,,,
741,Adjustment of a denture,"Adjustment of a denture to improve comfort, function or aesthetics. This item does not apply to routine adjustments following the insertion of a new denture or the maintenance or repair of an existing denture.",Adj pre—existing denture,95,0,56.05,0,0,,,,,,,,,,,,,,,,,
743,Relining – complete denture – processed,Replacement of the tissue fitting surface of a complete denture to improve its accuracy and fit. The procedure requires multiple appointments.,Relining complete denture - processed,450,230,357.7,0,0,,,,,,,,,,,,,,,,,
744,Relining – partial denture – processed,Replacement of the tissue fitting surface of a partial denture to improve its accuracy and fit. The procedure requires multiple appointments.,Relining - partial chrome denture - processed,450,0,304.9,0,0,,,,,,,,,,,,,,,,,
745,Remodelling – complete denture,"Replacement of the resin base of a complete denture, with or without rearrangement of the teeth, to improve its accuracy and fit. The procedure requires multiple appointments.",Relining Upper or Lower part Denture Remodeling - complete denture,600,0,0,0,0,,,,,,,,,,,,,,,,,
746,Remodelling – partial denture,"Replacement of the resin base of a partial denture, with or without rearrangement of the teeth, to improve its accuracy and fit. The procedure requires multiple appointments.",Denture Remodeling - partial chrome denture,500,0,0,0,0,,,,,,,,,,,,,,,,,
751,Relining – complete denture – direct,"Addition to the tissue fitting surface of a complete denture to improve its accuracy and fit, using a self- or light-cured material.",Relining - complete denture - direct,0,0,194.9,0,0,,,,,,,,,,,,,,,,,
752,Relining – partial denture – direct,"Addition to the tissue fitting surface of a partial denture to improve its accuracy and fit, using a self- or light-cured material.",Relining - Complete Denture Relining - partial denture - direct,0,0,162.35,0,0,,,,,,,,,,,,,,,,,
753,Cleaning and polishing of pre-existing denture,The cleaning and polishing of a pre-existing denture not associated with any other item of maintenance or repair of the denture.,Cleaning/polishing pre-existing denture,98.33,0,45.45,0,"0,00",,,,,,,,,,,,,,,,,
754,Denture base modification,"Modification to a denture base to enhance aesthetics, function or to facilitate the retention of denture teeth.",Denture base modification,0,0,0,0,0,,,,,,,,,,,,,,,,,
755,Maintenance of overdenture attachment – per attachment,Replacement of a polymer insert in an overdenture attachment.,,,,,,,,,,,,,,,,,,,,,,,
761,Reattaching pre-existing retainer (clasp) to denture,"Repair, insertion and adjustment of a denture involving reattachment of a pre-existing retainer (clasp).",Reattach pre-existing tooth/clasp to denture,0,0,40.85,0,0,,,,,,,,,,,,,,,,,
762,Replacing/adding retainer (clasp) to denture – per retainer (clasp),"Repair, insertion and adjustment of a denture involving replacement or addition of a new retainer (clasp).",Replacing clasp on denture,150,70,161.8,0,0,,,,,,,,,,,,,,,,,
763,Repairing broken base of a complete denture,"Repair, insertion and adjustment of a broken resin complete denture base.",Repairing broken base complete denture,200,62,40.85,0,0,,,,,,,,,,,,,,,,,
764,Repairing broken base of a partial denture,"Repair, insertion and adjustment of a broken resin partial denture base.",Repairing broken base partial denture,200,62,40.85,0,0,,,,,,,,,,,,,,,,,
765,Replacing and/or adding a new tooth to a denture or implant prosthesis – per tooth,"Repair, insertion and adjustment of a denture or implant prosthesis involving replacement with or addition of a new tooth or teeth to a previously existing denture or implant prosthesis.",Replacing tooth on denture,140,62,161.8,0,0,,,,,,,,,,,,,,,,,
766,Reattaching an existing tooth to a denture – per denture tooth,"Repair, insertion and adjustment of a denture involving reattachment of a pre-existing denture tooth or teeth.",,,,,,,,,,,,,,,,,,,,,,,
768,Adding a denture tooth to a partial denture to replace an extracted or decoronated tooth – per denture tooth,Provision of a denture tooth on an existing partial denture to replace a natural tooth that has been removed or decoronated prior to or at the time of issue of the modified denture.,Add tooth partial denture lost tooth - per tooth,200,95,163.8,95.75,19.5,,,,,,,,,,,,,,,,,
769,Repair or addition to metal frame,Repair of or addition to the metal frame of a denture. This is a complex procedure requiring the dismantling of the denture. Associated services should be itemised separately.,Repair or addition to metal casting,200,0,0,0,0,,,,,,,,,,,,,,,,,
771,Tissue conditioning – per application,"The provisional (temporary) lining of the tissue fitting surface of a denture with a conditioning material, to improve the health of the denture-supporting mucosa.",Tissue conditioning prep impressions - per applic,0,55,74.4,0,0,,,,,,,,,,,,,,,,,
772,Splint – resin,A resin appliance attached to the teeth for stabilising mobile or displaced teeth.,Splint - resin - indirect,0,0,373.45,0,0,,,,,,,,,,,,,,,,,
773,Splint – metal – indirect,A custom fabricated metal appliance bonded to the teeth to stabilise mobile or displaced teeth.,Splint . metal - indirect,0,0,373.45,0,0,,,,,,,,,,,,,,,,,
775,Characterisation of denture base,"Stippling, staining, festooning or shaping rugae on the appropriate surface(s) of a denture.",Obturator,0,0,0,0,0,,,,,,,,,,,,,,,,,
776,Impression – denture repair/modification,An item to describe taking an impression where required for the repair or modification of a dental appliance.,Characterisation of denture base,140,0,0,0,0,,,,,,,,,,,,,,,,,
777,Identification,Marking a dental appliance with a patient’s name or other form of enduring patient identification.,Impression,0,25,49.45,0,0,,,,,,,,,,,,,,,,,
778,Inlay for denture tooth,Provision of an inlay in a denture tooth.,Identification,0,0,39.6,0,0,,,,,,,,,,,,,,,,,
779,Surgical guide for an immediate denture,Provision of an appliance that indicates the final ridge contours following extraction of teeth prior to immediate denture insertion.,Inlay for denture tooth,0,0,0,0,0,,,,,,,,,,,,,,,,,
781,Obturator,That component of a maxillofacial prosthesis used to close or maintain the integrity of the oral and nasal compartments resulting from a congenital or acquired defect. For a surgical/interim obturator see item 782.,Surgical guide for an immed dent,0,0,0,0,0,,,,,,,,,,,,,,,,,
782,Surgical/interim obturator,A temporary maxillofacial prosthesis inserted during or immediately following surgical or traumatic loss of a portion or all of the maxilla and contiguous alveolar structures.,,,,,,,,,,,,,,,,,,,,,,,
783,Revision of surgical/interim obturator,Revision of a surgical/interim obturator during the ensuing post-surgical healing phase.,,,,,,,,,,,,,,,,,,,,,,,
785,Interim or diagnostic maxillofacial prosthesis,A provisional maxillofacial prosthesis delivered either at the time of surgery or soon after or during the rehabilitation phase of care to facilitate the design of the definitive prosthesis.,,,,,,,,,,,,,,,,,,,,,,,
786,Mandibular resection prosthesis,"A maxillofacial prosthesis used to maintain a functional position for the jaws, improve speech and deglutition following trauma and/or surgery to the mandible and/or adjacent structures.",,,,,,,,,,,,,,,,,,,,,,,
787,Extraoral prosthesis – ear,"An extraoral prosthesis that replaces an ear, retained by spectacles, adhesive or implants. The implants and attachments should be itemised separately.",,,,,,,,,,,,,,,,,,,,,,,
788,Extraoral prosthesis – nose,"An extraoral prosthesis that replaces the nose and/or parts of the midface, retained by spectacles, adhesive or implants. The implants and attachments should be itemised separately.",,,,,,,,,,,,,,,,,,,,,,,
789,Extraoral prosthesis – eye,"An extraoral prosthesis that replaces an eye, retained by spectacles, adhesive or implants. The implants and attachments should be itemised separately.",,,,,,,,,,,,,,,,,,,,,,,
790,Adjustment of a maxillofacial prosthesis,"Adjustment of a maxillofacial prosthesis to improve comfort, function or aesthetics. This item does not apply to routine adjustments following the insertion of the prosthesis.",,,,,,,,,,,,,,,,,,,,,,,
511,Metallic restoration – one surface – direct,Direct metallic restoration involving one surface of a tooth.,,,,,,,1,,,,,,,,,,,,,,,,
512,Metallic restoration – two surfaces – direct,Direct metallic restoration involving two surfaces of a tooth.,,,,,,,2,,,,,,,,,,,,,,,,
513,Metallic restoration – three surfaces – direct,Direct metallic restoration involving three surfaces of a tooth.,,,,,,,3,,,,,,,,,,,,,,,,
514,Metallic restoration – four surfaces – direct,Direct metallic restoration involving four surfaces of a tooth.,,,,,,,4,,,,,,,,,,,,,,,,
515,Metallic restoration – five surfaces – direct,Direct metallic restoration involving five surfaces of a tooth.,,,,,,,5,,,,,,,,,,,,,,,,
521,Adhesive restoration – one surface – anterior tooth – direct,"Direct restoration, using an adhesive technique and a tooth-coloured material, involving one surface of an anterior tooth.",Adhesive restoration -1 surf - anterior,230,65,123.95,65.5,10,1,,,,,,,,,,,,,,,,
522,Adhesive restoration – two surfaces – anterior tooth – direct,"Direct restoration, using an adhesive technique and a tooth-coloured material, involving two surfaces of an anterior tooth.",Adhesive restoration - 2 surfs - anterior,250,75,150.55,80.6,12.5,2,,,,,,,,,,,,,,,,
523,Adhesive restoration – three surfaces – anterior tooth – direct,"Direct restoration, using an adhesive technique and a tooth-coloured material, involving three surfaces of an anterior tooth.",Adhesive restoration. 3 surfs - anterior,280,90,178.3,90.6,14,3,,,,,,,,,,,,,,,,
524,Adhesive restoration – four surfaces – anterior tooth – direct,"Direct restoration, using an adhesive technique and a tooth-coloured material, involving four surfaces of an anterior tooth.",Adhesive restoration - 4 surfs - anterior,340,0,206.05,0,0,4,,,,,,,,,,,,,,,,
525,Adhesive restoration – five surfaces – anterior tooth – direct,"Direct restoration, using an adhesive technique and a tooth-coloured material, involving five surfaces of an anterior tooth.",Adhesive restoration - 5 surfs - anterior,430,0,242.15,0,0,5,,,,,,,,,,,,,,,,
526,Adhesive restoration – veneer – anterior tooth – direct,Direct bonding of a veneer of adhesive tooth-coloured material to the surface of an anterior tooth.,Adhesive restoration - veneer - anterior tooth - direct,500,0,242.15,0,0,5,,,,,,,,,,,,,,,,
531,Adhesive restoration – one surface – posterior tooth – direct,"Direct restoration, using an adhesive technique and a tooth-coloured material, involving one surface of a posterior tooth.",Adhes restoration -1 surf - posterior,230,68,132.5,69.2,11,1,,,,,,,,,,,,,,,,
532,Adhesive restoration – two surfaces – posterior tooth – direct,"Direct restoration, using an adhesive technique and a tooth-coloured material, involving two surfaces of a posterior tooth.",Adhesive restoration - 2 surfs - posterior,250,80,166.3,88.15,13.5,2,,,,,,,,,,,,,,,,
533,Adhesive restoration – three surfaces – posterior tooth – direct,"Direct restoration, using an adhesive technique and a tooth-coloured material, involving three surfaces of a posterior tooth.",Adhesive restoration - 3 surfs • posterior,280,96,199.9,107,16.5,3,,,,,,,,,,,,,,,,
534,Adhesive restoration – four surfaces – posterior tooth – direct,"Direct restoration, using an adhesive technique and a tooth-coloured material, involving four surfaces of a posterior tooth.",Adhesive restoration 4 surfs posterior,340,0,225.2,0,0,4,,,,,,,,,,,,,,,,
535,Adhesive restoration – five surfaces – posterior tooth – direct,"Direct restoration, using an adhesive technique and a tooth-coloured material, involving five surfaces of a posterior tooth.",Adhesive restoration - 5 surfs posterior,430,0,260.1,0,0,5,,,,,,,,,,,,,,,,
