Item Number,Item Title,Item Description,Treatment Friendly Name,Private,Medicare,Vet Affairs,VGDS,VGDS PAT,Surfaces,,,,,,,,,,,,,,,,
75,Diagnostic modelling – digital – per tooth,Digital modelling to facilitate the development of treatment plan.,Diagnostic Modeling,825,0,0,0,0,,,,,,,,,,,,,,,,,
76,Intraoral evaluation of diagnostic modelling – per tooth or tooth replacement,"A procedure utilising data from 074 or 075 to create an intraoral simulation of proposed treatment to evaluate function, aesthetics and other characteristics.",,,,,,,,,,,,,,,,,,,,,,,
81,Cephalometric analysis – excluding radiographs,The analysis of a cephalometric radiograph by measurement of specific biological landmarks.,,,,,,,,,,,,,,,,,,,,,,,
82,Tooth-jaw size prediction analysis,"The analysis of records, including radiographs and casts, to predict the relationship between the anticipated size of the mandible, the maxilla and the teeth that these bones have to accommodate.",,,,,,,,,,,,,,,,,,,,,,,
83,Tomographic analysis,The analysis of a tomograph by measurement of specific biological landmarks.,,,,,,,,,,,,,,,,,,,,,,,
87,Cone Beam Computed Tomography analysis and/or interpretation – small field of view (less than one complete dental arch),The analysis and/or interpretation of a cone beam computed scan with a limited field of view.,CBCT analysis and/or interpretation- small field of view,75,0,0,0,0,,,,,,,,,,,,,,,,,
88,Cone Beam Computed Tomography analysis and/or interpretation – maxillary or mandibular dentition (single arch),The analysis and/or interpretation of a cone beam computed scan of the maxillary or mandibular dentition and supporting alveolar structures.,CBCT analysis and/or interpretation- single arch ,75,0,0,0,0,,,,,,,,,,,,,,,,,
89,Cone Beam Computed Tomography analysis and/or interpretation – maxillary and mandibular dentition (both arches),The analysis and/or interpretation of a cone beam computed scan of the maxillary and mandibular dentition and supporting alveolar structures.,CBCT analysis and/or interpretation- full mouth,75,0,0,0,0,,,,,,,,,,,,,,,,,
90,Cone Beam Computed Tomography analysis and/or interpretation – temporomandibular joints only,The analysis and/or interpretation of a cone beam computed scan of the temporomandibular joints only.,,,,,,,,,,,,,,,,,,,,,,,
91,Cone Beam Computed Tomography analysis and/or interpretation – orofacial structures,The analysis and/or interpretation of a cone beam computed scan of the entire dentition and supporting alveolar structures.,,,,,,,,,,,,,,,,,,,,,,,
911,Palliative care – per appointment,"An item to describe interim care to relieve pain, infection, bleeding or other problems not associated with other treatment, per appointment.",Palliative care ,0,26,73.45,26.5,0,,,,,,,,,,,,,,,,,
915,After-hours callout,An additional item to describe provision of treatment required after hours. Treatment provided should be itemised.,Telehealth consult after hours,30,0,98.65,0,0,,,,,,,,,,,,,,,,,
916,Travel to provide services,"An additional item to describe travel from the usual place of practice to provide treatment. Not applicable to mobile dental services, branch practices or outreach services. Treatment provided should be itemised separately.",Travelling to patient to provide service/treatment,0,0,71.75,0,0,,,,,,,,,,,,,,,,,
919,Teleconsultation,"The remote provision of consultation and support to a patient by a dental practitioner. Items 131, 141 and 142 should be itemised separately.",,,,,,,,,,,,,,,,,,,,,,,
920,Extended teleconsultation – 30 minutes or more,"The remote provision of an extended consultation and support to a patient by a dental practitioner. Items 131, 141 and 142 should be itemised separately.",,,,,,,,,,,,,,,,,,,,,,,
921,Teleconsultation by referral,"The remote provision by referral of a consultation and support to a patient by a dental practitioner. Items 131, 141 and 142 should be itemised separately.",,,,,,,,,,,,,,,,,,,,,,,
926,Individually made tray – medicament(s),A tray made for the application of medicaments to the teeth or supporting tissues.,Indivdiually made tray medicaments,190,0,170.25,0,0,,,,,,,,,,,,,,,,,
927,Provision of medication/medicament,"The supply, or administration under professional supervision, of appropriate medications and medicaments required for dental treatments.",Provision of medication/medicaments,0,0,29.5,0,0,,,,,,,,,,,,,,,,,
928,Intravenous cannulation and establishment of infusion,"The procedure of performing venepuncture, insertion of a cannula within the lumen of a vein and the establishment of infusion.",,,,,,,,,,,,,,,,,,,,,,,
929,Provision of neuromodulator therapy,Injection of neuromodulators for the treatment of oral and maxillofacial diseases and disorders.,,,,,,,,,,,,,,,,,,,,,,,
981,Splinting and stabilisation – direct – per tooth,The joining of adjacent teeth to provide mutual support (where not covered by item 386 or 387).,Splinting and stabilisation,80,0,104.05,0,0,,,,,,,,,,,,,,,,,
982,Enamel stripping – per appointment,The removal of enamel from the interdental surfaces of a tooth/teeth to reduce width.,Enamel stripping - per visit,100,0,102.25,0,0,,,,,,,,,,,,,,,,,
984,Mandibular advancement appliance for diagnosed snoring and obstructive sleep apnoea,"Provision and appropriate dental supervision of a custom, titratable, removable oral appliance for the treatment of diagnosed snoring and obstructive sleep apnoea disorders.",Insertion and fitting of sleep apnoea device,2200,0,0,0,0,,,,,,,,,,,,,,,,,
985,Repair/addition – snoring or sleep apnoea device,"The repair/addition, reinsertion and adjustment of a snoring or sleep apnoea device. Any impression(s), if required, should be itemised.",Repair/addition to sleep apnoea device,0,0,308.55,0,0,,,,,,,,,,,,,,,,,
986,Post-operative care not otherwise included,The provision of post-operative care by a dental practitioner who did not provide the initial treatment.,Post operative care not otherwise included,0,0,75.75,0,0,,,,,,,,,,,,,,,,,
987,Recontour tissue – per appointment,"Recontour of oral and associated tissue not described elsewhere in the Australian Schedule of Dental Services and Glossary, such as injection of dermal fillers.",,,,,,,,,,,,,,,,,,,,,,,
990,Treatment not otherwise included (specify),An item number used to identify dental treatment not elsewhere described. Adequate written description of the service is required.,,,,,,,,,,,,,,,,,,,,,,,
999,GST,This item number is for use where practice accounting systems cannot accommodate GST applicable to nonclinical components.,,,,,,,,,,,,,,,,,,,,,,,
311,Removal of a tooth or part(s) thereof,A procedure consisting of the removal of a tooth or part(s) thereof.,Removal of tooth/part(s),300,66,141,66.7,10.5,,,,,,,,,,,,,,,,,
314,Sectional removal of a tooth or part(s) thereof,The removal of a tooth or part(s) thereof in sections. Bone removal may be necessary.,Sectional removal of a tooth,300,0,180.2,0,0,,,,,,,,,,,,,,,,,
322,Surgical removal of a tooth or tooth fragment not requiring removal of bone or tooth division,"Removal of a tooth or tooth fragment where an incision and the raising of a mucoperiosteal flap are required, but where removal of bone or sectioning of the tooth is not necessary.",Surgical removal unerrupted/part errupted tooth,350,138,228.85,0,0,,,,,,,,,,,,,,,,,
324,Surgical removal of a tooth or tooth fragment requiring bone removal and/or tooth division,Removal of a tooth or tooth fragment with removal of bone and/or sectioning of the tooth after an incision and the raising of a mucoperiosteal flap.,Surgical removal of unerupted tooth/bone removal,480,165,351.6,0,0,,,,,,,,,,,,,,,,,
331,Alveoloplasty – per segment,The surgical modification of the shape of a segment of the alveolar bone.,Alveolectomy - per seg,1500,0,142.65,0,0,,,,,,,,,,,,,,,,,
332,Ostectomy – per jaw,The surgical modification of the bony architecture of the maxilla or mandible.,,,,,,,,,,,,,,,,,,,,,,,
337,Reduction of fibrous tuberosity,A surgical procedure involving removal of fibrous tissue from the posterior maxillary alveolar ridge to modify the ridge contour.,Reduction of fibrous tuberosity,0,0,200.6,0,0,,,,,,,,,,,,,,,,,
338,Reduction of flabby ridge – per segment,A surgical procedure involving removal of unsupported soft tissue from a segment or quadrant of the maxillary or mandibular alveolar ridge.,Reduction of flabby ridge - per seg,0,0,113.6,0,0,,,,,,,,,,,,,,,,,
341,Removal of hyperplastic tissue,The surgical removal of an area of hyperplastic tissue from the maxillary or mandibular alveolar ridge or adjacent mucosa.,Removal of hyerplastic tissue,0,0,181.85,0,0,,,,,,,,,,,,,,,,,
343,Repositioning of muscle attachment,The surgical repositioning of a muscle attachment to place it in a more favorable position.,,,,,,,,,,,,,,,,,,,,,,,
344,Vestibuloplasty,The surgical deepening of the buccal or labial vestibule in the mucosa.,,,,,,,,,,,,,,,,,,,,,,,
345,Skin or mucosal graft,A surgical procedure involving a skin or mucosal graft.,,,,,,,,,,,,,,,,,,,,,,,
351,Repair of skin and subcutaneous tissue or mucous membrane,"The surgical cleaning and repair of a facial skin wound in the region of the mouth or jaws, or the repair of oral mucous membrane.",Repair of skin subctaneuos tissue mocous membrane,0,0,171.8,0,0,,,,,,,,,,,,,,,,,
352,Fracture of maxilla or mandible – not requiring fixation,Conservative treatment of a fracture of the maxilla or mandible where there is no marked displacement or mobility of the fragments.,,,,,,,,,,,,,,,,,,,,,,,
